Sequence No.,Site No.,round No.,Camera ID No.,Camera make/model,Date set-up,Time set-up,Days out,Height (cm),Date Taken Down,Time Taken Down,Notes,Longitude,Latitude,Eastings,Northings,Key,Team Colour,checked,first notes,second notes,Finished = 1; out = 2; repeat = 3,,,,,,
82,34,2,IOZ18CAM03,BrowningSFP,14/05/2018,17:41,12,,26/05/2018,19:35,small hawthorn flowering,-0.1571999,51.5605812,,,399,new,needs hight/calibration,batteries 50-60%,"second placement, complete",1,,,,,,
83,79,2,IOZ18CAM01,BrowningSFP,14/05/2018,17:51,9,,23/05/2018,,attached to fence surrounding pond - correct on map,-0.1591011,51.5648015,,,399,new,needs hight/calibration,batteries 50-60% - complete record ,second placement,1,,,,,,
84,133,1,LHW1815,browningSFP,02/05/2018,11:10,15,40,17/05/2018,15:13,On medium tree in thicket to west of point,-0.1657639,51.5712542,,,,,10/05/2018,okay date completely wrong 8/7/17 - SD changed,complete record,1,,,,,,
85,134,1,IOZ201500,Reconyx 500,02/05/2018,11:25,14,35,16/05/2018,13:08,On tree to west of point,-0.1618753,51.5713765,,,,,10/05/2018,okay - SD changed 60% charged,,1,,,,,,
86,141,1,BC8500,Reconyx 500,02/05/2018,11:40,14,40,16/05/2018,14:50,On tree east of point by wall,-0.1629496,51.5725533,,,,,,paper copy says time taken down was 12:45,,1,,,,,,
87,142,1,IOZ4600,Reconyx 600,02/05/2018,11:50,14,40,16/05/2018,13:00,on upright stump two x 399 locks on point,-0.1610878,51.5725648,,,,,,redone,hedgehog,1,,,,,,
88,138,1,LHW18,browningSFP,02/05/2018,12:40,14,28,16/05/2018,11:52,Tree south east of point,-0.1615049,51.5726042,,,,,10/05/2018,okay 100% charged SD card changed; year change,,1,,,,,,
89,139,1,IOZ2600,Reconyx 600,02/05/2018,12:50,14,38,16/05/2018,12:07,West of point,-0.1675777,51.572707,,,,,10/05/2018,okay 70% charged SD card changed,complete,1,,,,,,
90,140,1,IOZ1500,Reconyx 500,02/05/2018,13:05,14,30,16/05/2018,12:17,On holly to west of point,-0.165448,51.5726848,,,,,10/05/2018,okay 20% charged SD card changed,,1,,,,,,
91,150,1,TRP1803,browningSFP,03/05/2018,11:10,14,54,17/05/2018,,After bench on tree at side of field,-0.1846,51.5783,,,294,,10/05/2018,okay 54% charged (after changing battery) SD card changed,loads of photos of leaves,1,,,,,,
92,149,1,TRP1813,browningSFP,03/05/2018,11:24,14,38,17/05/2018,12:05,"At corner of field, near lamp-post on tree-hawthorn/oak/brambles",0.1846,51.5767,,,294,,10/05/2018,"okay, 40% battery, SD 7% full",hedgehog,1,,,,,,
93,148,1,TRP1802,browningSFP,03/05/2018,11.37,14,56,17/05/2018,11:59,East of point by path at corner of field,-0.1857,51.5766,,,294,,10/05/2018,"okay 52% charged, SD 5.2% full",too low,1,,,,,,
94,147,1,TRP1815,browningSFP,03/05/2018,11.49,14,70,17/05/2018,11:54,On tree along path opposite red brick wall north of point,-0.1885,51.5768,,,294,,10/05/2018,"okay 41% charged, SD 2.2% full",,1,,,,,,
95,145,1,TRP1801,browningSFP,03/05/2018,12.05,14,35,17/05/2018,12:29,"Facing two trees with bench in middle, on small tree in patch of vegetation at edge of field",-0.1877,51.5749,,,294,,10/05/2018,"okay, 42% battery, SD 41.4% full",pretty heavy vegetation but hedgehogs,1,,,,,,
96,146,1,TRP1818,browningSFP,03/05/2018,12:30,14,60,17/05/2018,12:21,"NE of point, next to logs at side of field",-0.1833,51.5754,,,294,,10/05/2018,"okay, 44% battery, SD swapped",camera angled downwards but did not have stick to adjust and recalibrate,1,,,,,,
97,143,1,TRP1814,browningSFP,03/05/2018,,16,48,19/05/2018,13:52,"South of point, edge of field, corner towards road",0.1862576,51.5735546,,,294,,10/05/2018,"okay, battery 45%, SD 17% full",hedgehog,1,,,,,,
98,144,1,TRP1817,browningSFP,03/05/2018,12:41,14,40,17/05/2018,12:39,"Tree in corner of cleared patch surrounded by holly, next to building",-0.1843,51.574,,,294,,10/05/2018,"off by 1 day-corrected, 43% battery, SD 10.4% full",complete hedgehog,1,,,,,,
99,136,1,TRP1899,browningSFP,03/05/2018,13:05,14,,17/05/2018,12:52,"South of point, edge of field next to road, on young tree",-0.1849,51.5722,,,152,,10/05/2018,"okay, 44% battery, SD swapped",complete hedgehog,1,,,,,,
100,135,1,TRP1816,browningSFP,02/05/2018,11:20,15,50,17/05/2018,13;00,"On bank, by fence, south of point",-0.16108,51.57137,275,874,,,11/05/2018,couldn't find check with Liz - moved on 2/5 11:20 but looks very different place?,"found. Okay, 56% battery, SD 0% full",1,,,,,,
101,125,1,TRP1807,browningSFP,02/05/2018,11:52,14,30,16/05/2018,,"In bushes south of point, next to path",-0.1629294,51.5697976,274,872,,,10/05/2018,Sd ch - bushes ash tree sw of point which is open field. ,,1,,,,,,
102,126,1,IOZ4600,Reconyx 600,02/05/2018,12:00,14,40,16/05/2018,12:14,"NE of pojnt, in woods",-0.1606134,51.5703065,277,858,,,10/05/2018,okay 20% charge; sd and batt change,,1,,,,,,
103,90,1,MR10800,Reconyx 800,17/05/2018,12:00,14,40,31/05/2018,12:37,dead tree with fungi on point,-0.16955,51.56611,,,,,complete record,,,1,,,,,,
104,127,1,BC10500,Reconyx 500,10/05/2018,12:30,21,40,31/05/2018,15:26,"On path, through wood, North of point",-0.15895,51.57006,276,872,,,"complete, hedgehog",no photos wrong position- repositioned needs calibration,,1,,,,,,
105,109,1,LHW18-2,browningSFP,02/05/2018,13:00,14,40,16/05/2018,11:34,Shrubby tree by railings - too obscured,27546,86993,275,869,,,11/05/2018,"okay, 100% battery, SD 5.6% full",hedgehog,1,,,,,,
106,95,1,RP3,,02/05/2018,13:30,14,45,16/05/2018,10:10,Large tree just off path by lake,27721,86845,277,868,,,hedgehogs ,,,1,,,,,,
107,118,1,MR7800,Reconyx 800,02/05/2018,12:45,14,40,16/05/2018,11:43,"On railing, tree by roadway",27546,87170,270,863,,,11/05/2018,"okay, 63% battery, SD 0% full",,1,,,,,,
108,137,1,IOZA1600,Reconyx 600,02/05/2018,11:26,15,43,17/05/2018,13:59,20m SW of point,-0.18226,51.57269,,,399,,10/05/2018,"okay, 30% battery-changed now 76%, SD 26% full",Location looking directly at path - complete hedgehog,1,,,,,,
109,128,1,TRP1809,browningSFP,02/05/2018,11:45,15,60,17/05/2018,14:05,Opposite corner of playground,-0.18226,51.57137,,,155,,,Couldn't check need 115 key,complete,1,,,,,,
110,129,1,LHW12,browningSFP,02/05/2018,11:52,15,40,17/05/2018,15:26,At spot next to road,-0.18014,51.57137,,,478,,,"Couldn't check, need 478 key",,1,,,,,,
111,120,1,TRP1811,browningSFP,02/05/2018,12:05,15,55,17/05/2018,13:23,"Slightly SE of point, near road",-0.17802,51.57006,,,151,,11/05/2018,"Off by 1 day-corrected,  44% battery, SD 29.5%",complete,1,,,,,,
112,111,1,MR1800,Reconyx 800,02/05/2018,12:15,15,45,17/05/2018,13:12,Adjacent to corner of path,-0.17802,51.56874,,,399,,11/05/2018,complete record,hedgehog,1,,,,,,
113,110,1,CC5500,Reconyx 500,02/05/2018,12:35,15,,17/05/2018,13:07,,-0.18014,51.56874,,,399,,11/05/2018,"okay, 80% battery, SD 6% full",complete hedgehog,1,,,,,,
114,119,1,BC5500,Reconyx 500,02/05/2018,,15,48,17/05/2018,13:37,,-0.18014,51.57006,,,,,10/05/2018,"okay, 84% battery, SD >50% full",complete,1,,,,,,
115,91,1,LWH1816,browningSFP,17/05/2018,11:31,14,38,31/05/2018,12:26,"North of point, south of main path, on small tree next to holly tree and big stump",-0.1674,51.5663,,,,,reset 17/5/18,,second placement okay from 17/5,1,,,,,,
116,92,1,MR6800,Reconyx 800,02/05/2018,10:55,29,58,31/05/2018,11:13,"On silver birch, SE of point",-0.1652,51.5661,,,,,54% charge,camera not numbered correctly -,not many records but seems okay,1,,,,,,
117,71,1,LHW1810,browningSFP,02/05/2018,12:19,29,39,31/05/2018,14:58,"NE of point, off main path, next to small path in group of trees",-0.1759,51.5649,,,,,complete record,rabbit,,1,,,,,,
118,87,2,LHW 18-8 ,BrowningSFP,30/05/2018,~16:15,19,,18/06/2018,,"NE of point, off path, in brambles - in a clearing, on point",-0.1757,51.5664,,,399,,,Not great placement no real photos,redo..,2,,,,,,
119,97,2,MR7800,Reconyx 800,04/06/2018,13.19,10,38,14/06/2018,15:22,very open areas lots of people,-0.18861,51.56742,,,,,,card full - runs only 3 days,Complete - not very interesting,1,,,,,,
120,102,1,BC4500,Reconyx 500,02/05/2018,13:10,17,58,19/05/2018,,Just of f path - complete record,-0.1759,51.56742,,,,,,,,1,,,,,,
121,72,2,IOZ18CAM08,browningSFP,16/05/2018,13:27,0,,16/05/2018,13:20,off main trail facing up small trail on location - no calibration,-0.17379,51.56479,,,399,new,no photos,,,1,,,,,,
122,27,2,IOZ18CAM11,browningSFP,16/05/2018,13:46,15,30,31/05/2018,12:37,near holly no calibration,-0.17167,51.56084,,,399,new,Paper copy says Reconyx 600,,,1,,,,,,
123,53,2,IOZ18CAM09,browningSFP,16/05/2018,14:08,15,,31/05/2018,18:47,woods - no calibration - on point,-0.16531,51.56216,,,399,new,complete record,only one night image but seems okay foxes,,1,,,,,,
124,61,2,IOZ18CAM06,browningSFP,16/05/2018,14:32,5,,21/05/2018,20:26,attached to hawthorn behind large oak- need calibration,-0.16303,51.56343,,,399,new,not complete,,,1,,,,,,
125,77,2,IOZ18CAM10,browningSFP,16/05/2018,14:51,15,,31/05/2018,12:31,base of beach? Near point,-0.16314,51.56509,,,399,new,complete record,hedgehog,,1,,,,,,
126,108,1,IOZ201500,Reconyx 500,17/05/2018,13:00,14,60,31/05/2018,12:10,facing KH fence from outside KH grounds,-0.16319,51.56742,,,,,complete record,,,1,,,,,,
127,122,1,IOZ1820,Browning ,21/06/2018,13:03,14,35,05/07/2018,07:56:00,"Well off point due to stage, just off path by green gate",-0.1703089,51.5699799,,,115,,,,,,,,,,,
128,142,2,LHW18-5,BrowningSFP,17/05/2018,14:00,14,50,31/05/2018,11:14,on upright stump two x 399 locks on point,-0.16108,51.57256,,,,,complete record,reset,hedgehogs,1,,,,,,
129,1,2,IOZ18CAM07,browningSFP,16/05/2018,15:00,15,,31/05/2018,13:38,on point medium tree near road,-0.15035,51.55568,,,,,complete record,42% charged,,1,,,,,,
130,150,2,IOZ1500,Reconyx 500,17/05/2018,,18,55,04/06/2018,,,,,,,,,19/05/2018,didn’t open but looked okay,Complete record- sighting of foxes + hedgehogs ,1,,,,,,
131,50,1,CC1500,Reconyx 500,03/05/2018,14:50,21,30,24/05/2018,,Young beech adjoining mature oak,-0.1885,51.5632,,,,,,Placement poor pointed down replace?,hedgehog,1,,,,,,
132,65,1,MR11800,Reconyx 800,03/05/2018,15:00,20,15,23/05/2018,12:00,20m along fence,-0.1886,51.5647,,,,,Complete record,Hedgehog,,1,,,,,,
133,66,1,LHW18-3,BrowningSFP,03/05/2018,15:25,19,20,22/05/2018,16:17,Holly tree on stramline  under silver birch with infections,-0.1866,51.5647,,,,,Complete record,Hedgehog,pointing downward but getting images,1,,,,,,
134,67,1,TRP-18-12,BrowningSFP,03/05/2018,16:45,18,30,21/05/2018,15:54,Triple stemmed birch,-0.18433425,51.5647443,,,,,complete record,hedgehog,good placement,1,,,,,,
135,68,1,TRP1808,browningSFP,03/05/2018,17:00,19,15,22/05/2018,16:01,Padlock 152. red iron gate in kitchen garden,-0.1823265,51.5648023,,,,,complete record,hedgehog,good placement,1,,,,,,
136,146,2,IOZ18CAM12,BrowningSFP,18/05/2018,03:00,17,60,04/06/2018,12:21,Lampost opposite side of stream to point but same habitat,-0.1846537,51.5757606,,,399,,few pictures with dense vegetation,0 appearances but complete record,,1,,,,,,
137,149,2,IOZ18CAM14,BrowningSFP,18/05/2018,03:30,2,40,20/05/2018,18:05,Lampost near point,-0.1862298,51.5764692,,,399,,runs only 2 days ,,Sighting of foxes,1,,,,,,
138,148,2,IOZ18CAM13,BrowningSFP,18/05/2018,04:00,13,45,31/05/2018,,next to foot bridge same side of stream as original point,-0.1844793,51.5767778,,,399,,complete record,,,1,,,,,,
139,83,1,MR5800,Reconyx 800,03/05/2018,16:30,19,30,22/05/2018,15:34,"Two young oaks beside two mature birch, 5m off main path",-0.1844,51.5661,,,,,complete record,hedgehog,,1,,,,,,
140,84,1,IOZ3RH600,Reconyx 600,03/05/2018,17:10,10,25,13/05/2018,,"Padlock 152. heather site, lime tree adjacent to cut trhough",-0.1823265,51.5648023,,,,,TIME LASPE!,10 days probably enough,,1,,,,,,
141,88,2,TRP 18-05,BrowningSFP,30/05/2018,16:00,19,,18/06/2018,,"Silver birch, in fork of path, now attached to fence next to gate",-0.17379,51.56611,,,399,,,Not great placement no real photos,redo..,2,,,,,,
142,80,1,TRP-18-01,BrowningSFP,03/05/2018,16:48,16,,19/05/2018,16:01,complete record - set 12 hours ahead,-0.19073,51.56611,,,,,,,,1,,,,,,
143,81,1,TRP-18-15,browningSFP,03/05/2018,17:00,16,,19/05/2018,16:20,complete but turned down still hedgehogs!,-0.18873,51.56595,,,,,,,,1,,,,,,
144,82,1,IOZ8600,Reconyx 600,02/05/2018,17:14,20,,22/05/2018,15:28,attached to log and holly combination,-0.18649,51.56611,,,,,,,,1,,,,,,
145,96,1,LHW17-1,BrowningSFP,03/05/2018,16:29,5,,08/05/2018,13:01,at trail junction on tree,-0.19073,51.56742,,,,,,active only five days.. ,hedgehog,1,,,,,,
146,98,2,MR9800,Reconyx 800,04/06/2018,13.1,10,,14/06/2018,15:18,attached to fence around shrub areas - south of point,-0.18668,51.56729,,,,,,card full - runs only 3 days,Complete- interesting foxes + hegehogs ,1,,,,,,
147,43,2,LHW 18-11,BrowningSFP,30/05/2018,~16:30,19,,18/06/2018,,"Along the big path lined with trees, on one of the trees along that path",-0.169554095,51.56216468,,,399,,,0,,2,,,,,,
148,106,1,IOZ3600,Reconyx 600,17/05/2018,11:30,14,40,31/05/2018,11:57,inside fence near holly trees on point,-0.16743,51.56742,,,,,6% charge,complete record  w hogs!,hedgehog,1,,,,,,
149,107,1,CC3500,Reconyx 500,17/05/2018,12:35,14,50,31/05/2018,12:04,near oath on point inside fence,-0.16531,51.56742,,,,,complete record,47% charged,hedgehog,1,,,,,,
150,109,2,LHW18-13,browningSFP,17/05/2018,12:26,14,50,31/05/2018,12:17,on fence near point,-0.16108,51.56742,,,,,complete record,hedgehog,hedgehog,1,,,,,,
151,99,1,TRP-18-04,browningSFP,02/05/2018,13:15,17,,19/05/2018,15:26,garden in trees,-0.18438,51.56742,,,,,,,hedgehog,1,,,,,,
152,96,2,MR11800,Reconyx 800,04/06/2018,13.25,10,40,14/06/2018,15:27,at trail junction on tree,-0.19073,51.56742,,,,,,,Complete- very nice footage ,1,,,,,,
153,103,1,IOZ4600,Reconyx,21/06/2018,15:00,14,48,05/07/2018,13:18,"East of point, a tree along fence",-0.1734098,51.5674643,,,399,,,MISSING IN DATA SET,,,,,,,,
154,104,1,IOZ5500,Reconyx,21/06/2018,15:05,14,56,05/07/2018,13:24,In grassland in group of trees,-0.1715108,51.5677613,,,131,,,,,,,,,,,
155,116,1,LHW18-2,BrowningSFP,17/05/2018,13:38,14,50,31/05/2018,11:52,inside KH on point,-0.16531,51.56874,,,,,complete record,,,1,,,,,,
156,117,1,LHW18-9,BrowningSFP,17/05/2018,13:16,14,40,31/05/2018,12:00,oak tree near point,-0.16319,51.56874,,,,,not many photos but complete record,,,1,,,,,,
157,105,1,LHW1811,Browning ,21/06/2018,15:25,14,50,05/07/2018,13:29,At end of meadow on edge where forest starts,-0.1694268,51.567351,,,399,,,,,,,,,,,
158,112,1,TRP1803,Browning ,05/07/2018,12:11,14,35,19/07/2018,12:36,Off path in the small pine trees - on point,,,,,399,,,,,,,,,,,
159,113,1,IOZ1825,Browning ,21/06/2018,14:01,14,38,05/07/2018,12;24,By gate into fenced off area in middle of grassland - very poor record with few photos other than vegetation,-0.1710123,51.568528,,,352 (Adrian's lock - return to him),,,CNT DATA,,,,,,,,
160,114,1,IOZ1815,Browning ,21/06/2018,14:17,14,68,05/07/2018,12:20,WRONG TIME +7:20 ,-0.1698261,51.5686933,,,478,,,,,,,,,,,
161,115,1,LHW188,Browning ,21/06/2018,14:35,4,39,25/06/2018,18:38,"On fence, near bin, on point",,,,,505(Adrian's lock - return to him),,,,,,,,,,,
162,121,1,BC8500,Reconyx,21/06/2018,13:18,14,52,05/07/2018,unknown,"Off grass into trees below dairy, very south of point",-0.171432,51.5696048,,,110,,,Missing in DATA SET - few photos,,,,,,,,
163,123,1,IOZ1811,??,21/06/2018,15:47,9,38,30/06/2018,unknown,Way off point (due to festival),-0.1659821,51.5695417,,,399,,,Missing in DATA SET - few photos,,,,,,,,
164,124,1,LHW185,Browning,21/06/2018,12:40,3,45,24/06/2018,08:13,"On tree off path, top of lawn that leads down to pond, on point",,,,,399,,,Missing in DATA SET,,,,,,,,
165,130,1,MR1800,Reconyx,22/06/2018,11:48,13,58,05/07/2018,07:11,"On point, inside fence in corner by car park",,,,,151,,,Missing in DATA SET,,,,,,,,
166,131,1,IOZ1819,Browning,21/06/2018,12:09,14,32,05/07/2018,07:29,Off point in bushes off path is gap in vegetation to go through,-0.1695062,51.571433,,,288,,,Missing in DATA SET,,,,,,,,
167,132,1,IOZ1816,Browning,21/06/2018,12:25,14,39,05/07/2018,unknown,In private garden on fence post in corner,-0.1671858,51.5718852,,,152,,,Missing in DATA SET,,,,,,,,
176,50,2,LHW 18-5,BrowningSFP,30/05/2018,15:10,15,,14/06/2018,15:37,"on point, in clearing",-0.1885,51.5632,,,399,,,Placement poor pointed down replace?,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
